evento,janela_ini,janela_fim,estacao_chuva,n_dias_chuva,chuva_total_mm,chuva_max_diaria_mm,chuva_max_data,uvaia_pico_cm,uvaia_pico_data,lajeado_pico_cm,lajeado_pico_data,lag_dias
jun/2017,2017-06-01,2017-06-30,1101,30,160.4,68.0,2017-06-05,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,1105,30,176.6,71.4,2017-06-06,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,2056,30,160.4,84.0,2017-06-05,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,2241,30,162.8,91.0,2017-06-06,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,IAT_2450054,30,101.5,27.6,2017-06-05,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,83811,0,sem-dados,sem-dados,sem-dados,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,83813,22,179.5,101.6,2017-06-06,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,sih:2450021,30,214.7,72.8,2017-06-05,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,sih:2549052,30,189.4,53.1,2017-06-05,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,sih:2550043,30,112.8,42.2,2017-06-06,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,sma:1105,30,176.6,71.4,2017-06-06,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,sma:1112,30,174.8,97.0,2017-06-05,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,sma:1124,30,174.8,82.0,2017-06-05,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,sma:1133,30,177.6,102.6,2017-06-05,659,2017-06-13,690,2017-06-11,2
jun/2017,2017-06-01,2017-06-30,sma:1224,0,sem-dados,sem-dados,sem-dados,659,2017-06-13,690,2017-06-11,2
